ai1F,ai2F,ai1B,ai2B
-0.017559,-0.004409000000000001,-0.01753,-0.004413
-0.017571,-0.0044210000000000005,-0.017547,-0.004408
-0.017571,-0.004393,-0.017502,-0.004392
-0.017616,-0.0044210000000000005,-0.017533,-0.004404
-0.01762,-0.004424,-0.017506999999999998,-0.004379999999999999
-0.017606,-0.004439,-0.017535,-0.004393
-0.017585,-0.004408,-0.01753,-0.004417
-0.017554,-0.004405,-0.017512,-0.004415
-0.017539,-0.004427,-0.017504,-0.004435000000000001
-0.017580000000000002,-0.004405,-0.017518000000000002,-0.004405
-0.017571,-0.004384000000000001,-0.017491,-0.0044020000000000005
-0.017571,-0.004401,-0.017496,-0.00439
-0.017557,-0.00439,-0.017498,-0.004369
-0.017559,-0.004392,-0.017503,-0.004361
-0.017575,-0.0044,-0.017526,-0.004381
-0.017549000000000002,-0.004405,-0.017506,-0.004366
-0.017561,-0.004409000000000001,-0.017476,-0.004376
-0.017533,-0.004397,-0.017518000000000002,-0.004369
-0.017573,-0.0044,-0.017508000000000003,-0.004371
-0.017522,-0.004411,-0.017483000000000002,-0.004362
-0.017534,-0.004393,-0.017469,-0.004365
-0.017539,-0.004384000000000001,-0.017487,-0.004365
-0.017537999999999998,-0.004406,-0.017481,-0.004357
-0.017557,-0.004406,-0.017495,-0.004365
-0.017567,-0.004376,-0.017514,-0.004369
-0.017537999999999998,-0.004396,-0.017519999999999997,-0.004370000000000001
-0.017551,-0.004429,-0.017543,-0.004355
-0.017509999999999998,-0.004401,-0.017526,-0.004347
-0.017546,-0.004381,-0.017544999999999998,-0.0043630000000000006
-0.017563,-0.004419,-0.017504,-0.004362
-0.017565,-0.004392,-0.017534,-0.004370000000000001
-0.017524,-0.004366,-0.017557,-0.004358
-0.017562,-0.0044280000000000005,-0.017541,-0.004355
-0.017594,-0.004408,-0.017518000000000002,-0.004369
-0.017554,-0.004401,-0.017514,-0.004361
-0.017522,-0.004393,-0.017566,-0.004346
-0.017546,-0.0044210000000000005,-0.017563,-0.004376
-0.017542,-0.004408,-0.017537999999999998,-0.004372999999999999
-0.017551,-0.004401,-0.017526,-0.0043630000000000006
-0.01755,-0.004384000000000001,-0.017527,-0.004349
-0.017528,-0.004401,-0.017563,-0.004355
-0.017528,-0.004419,-0.017534,-0.004343
-0.017524,-0.004433,-0.017527,-0.004386
-0.017527,-0.004413,-0.017581,-0.004398
-0.017543,-0.0044280000000000005,-0.017544999999999998,-0.004385
-0.01755,-0.004419,-0.017519999999999997,-0.004362
-0.017557,-0.004411,-0.017523,-0.00439
-0.017555,-0.004432,-0.017551,-0.004372999999999999
-0.017541,-0.004425,-0.017586,-0.004369
